,VORNAME,NACHNAME,WP20
0,Peter,Bleser,0
1,Jörg-Diether,Dehm-Desoi,0
2,Hans-Joachim,Fuchtel,0
3,Gregor,Gysi,1
4,Ulla,Jelpke,0
5,Volker,Kauder,0
6,Wolfgang,Kubicki,0
7,Katharina,Landgraf,0
8,Christoph,Matschie,0
9,Angela,Merkel,0
10,Peter,Ramsauer,0
11,Wolfgang,Schäuble,0
12,Christian,Schmidt,0
13,Ulla,Schmidt,0
14,Hermann Otto,Solms,0
15,Michael,Stübgen,1
16,Peter,Altmaier,1
17,Doris,Barnett,0
18,Dagmar,Freitag,1
19,Hermann,Gröhe,1
20,Manfred,Grund,0
21,Barbara,Hendricks,0
22,Karl A.,Lamers,0
23,Steffi,Lemke,1
24,Michael,Meister,1
25,Hans,Michelbach,0
26,Gerd,Müller,0
27,Cem,Özdemir,1
28,Thomas,Rachel,1
29,Norbert,Röttgen,1
30,Johannes,Selle,1
31,Max,Straubinger,0
32,Ute,Vogt,0
33,Norbert,Barthle,0
34,Dietmar,Bartsch,0
35,Lothar,Binding,0
36,Ralf,Brauksiepe,0
37,Ekin,Deligöz,1
38,Marie-Luise,Dött,0
39,Axel E.,Fischer,1
40,Hans-Peter,Friedrich,1
41,Katrin Dagmar,Göring-Eckardt,1
42,Hubertus,Heil,1
43,Gustav,Herzog,1
44,Martin,Hohmann,0
45,Johannes,Kahrs,1
46,Anette,Kramme,0
47,Christine,Lambrecht,0
48,Christian,Lange,0
49,Andrea,Nahles,1
50,Kersten,Naumann,0
51,Dietmar,Nietan,1
52,Petra,Pau,1
53,René,Röspel,1
54,Ernst Dieter,Rossmann,0
55,Claudia,Roth,0
56,Michael,Roth,1
57,Anita,Schäfer,0
58,Carsten,Schneider,1
59,Ewald,Schurer,0
60,Jürgen,Trittin,0
61,Arnold,Vaatz,0
62,Peter,Weiß,0
63,Annette,Widmann-Mauz,1
64,Klaus-Peter,Willsch,1
65,Ingrid,Arndt-Brauer,0
66,Carola,Reimann,1
67,Kerstin,Griese,0
68,Ulrich,Kelber,1
69,Kerstin,Andreae,1
70,Sören,Bartol,1
71,Veronika,Bellmann,1
72,Helge,Braun,1
