WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE
2017-;19,11000198,1,Union,1952,"Landwirtschaftsmeister, Parl. Staatssekretär",Deutschland,Bleser,Peter,"['12', '13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2017-;19
2017-;19,11000365,1,Die Linke,1950,"Autor, Geschäftsführer",Deutschland,Dehm-Desoi,Jörg-Diether,"['12', '16', '17', '18', '19']","[0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2017-;19
2017-;19,11000616,1,Union,1952,Parl. Staatssekretär,Deutschland,Fuchtel,Hans-Joachim,"['11', '12', '13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2017-;19
2017-;19,11000756,1,Die Linke,1948,Rechtsanwalt,Deutschland,Gysi,Gregor,"['11', '12', '13', '14', '16', '17', '18', '19']","[0, 1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,2017-;19
2017-;19,11001023,0,Die Linke,1951,"Dipl.-Soziologin, Journalistin",Deutschland,Jelpke,Ulla,"['12', '13', '14', '16', '17', '18', '19']","[0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,2017-;19
2017-;19,11001074,1,Union,1949,"Jurist, Vors. der CDU/CSU-Fraktion",Deutschland,Kauder,Volker,"['12', '13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2017-;19
2017-;19,11001235,1,FDP,1952,"Rechtsanwalt, Diplom-Volkswirt",Deutschland,Kubicki,Wolfgang,"['12', '15', '19']","[0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2017-;19
2017-;19,11001278,0,Union,1954,Dipl.-Meliorationsingenieurin,Deutschland,Landgraf,Katharina,"['11', '16', '17', '18', '19']","[0, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2017-;19
2017-;19,11001434,1,SPD,1961,"Mechaniker, Theologe, Landesminister a. D.",Deutschland,Matschie,Christoph,"['12', '13', '14', '15', '19']","[0, 0, 1, 1, 0]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2017-;19
2017-;19,11001478,0,Union,1954,"Bundeskanzlerin, Dipl.-Physikerin",Deutschland,Merkel,Angela,"['12', '13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2017-;19
2017-;19,11001772,1,Union,1954,"Bundesminister a. D., Dipl.-Kaufmann, Müllermeister",Deutschland,Ramsauer,Peter,"['12', '13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2017-;19
2017-;19,11001938,1,Union,1942,"Bundestagspräsident, Bundesminister a. D., Jurist",Deutschland,Schäuble,Wolfgang,"['7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2017-;19
2017-;19,11002003,1,Union,1957,"Bundesminister für Ernährung und Landwirtschaft, Rechtsanwalt",Deutschland,Schmidt,Christian,"['12', '13', '14', '15', '16', '17', '18', '19']","[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2017-;19
2017-;19,11002019,0,SPD,1949,"Vizepräsidentin DBT a. D., Lehrerin, Bundesministerin a. D.",Deutschland,Schmidt,Ulla,"['12', '13', '14', '15', '16', '17', '18', '19']","[0, 0, 1, 1, 1, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2017-;19
2017-;19,11002190,1,FDP,1940,"Vizepräsident DBT a. D., Bankkaufmann, Dipl.-Agraringenieur",Deutschland,Solms,Hermann Otto,"['9', '10', '11', '12', '13', '14', '15', '16', '17', '19']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,2017-;19
2017-;19,11002280,1,Union,1959,"Pfarrer, Baufacharbeiter, Parl. Staatssekretär",Deutschland,Stübgen,Michael,"['12', '13', '14', '15', '16', '17', '18', '19']","[1, 0, 0, 0, 0, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2017-;19
2017-;19,11002617,1,Union,1958,"Chef des Bundeskanzleramtes, Bundesministerfür besondere Aufgaben, Jurist",Deutschland,Altmaier,Peter,"['13', '14', '15', '16', '17', '18', '19']","[0, 0, 0, 0, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2017-;19
