WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE,ANFANG,ALTER
1949-1953,11000009,1,CDU,1876,Bundeskanzler a. D.,Deutschland,Adenauer,Konrad,"['1', '2', '3', '4', '5']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,73
1949-1953,11000013,1,KPD,1904,"Bergmann, Gewerkschaftsfunktionär",Deutschland,Agatz,Willi,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,45
1949-1953,11000015,1,DP,1879,Kapitän a. D.,Deutschland,Ahrens,Adolf,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,70
1949-1953,11000020,1,CDU,1890,Geschäftsführer,Deutschland,Albers,Johannes,"['1', '2']","['Direktwahl', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,59
1949-1953,11000021,0,SPD,1901,Buchhalterin,Deutschland,Albertz,Luise,"['1', '2', '3', '4', '5']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Direktwahl']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,48
1949-1953,11000024,0,SPD,1896,Sportlehrerin,Deutschland,Albrecht,Lisa,"['1', '2', '3']","['Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,53
1949-1953,11000030,1,SPD,1889,"Journalist, Schriftsteller",Deutschland,Altmaier,Jakob,"['1', '2', '3', '4']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,60
1949-1953,11000032,1,DZP,1888,"Jurist (Richter), Verwaltungsbeamter",Deutschland,Amelunxen,Rudolf,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,61
1949-1953,11000041,0,SPD,1880,Textilarbeiterin,Deutschland,Ansorge,Maria,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,69
1949-1953,11000045,1,FU,1918,Rechtsanwalt,Deutschland,Aretin,Anton,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,31
1949-1953,11000046,1,CDU,1894,Minister a. D.,Deutschland,Arndgen,Josef,"['1', '2', '3', '4']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,55
1949-1953,11000047,1,SPD,1904,Rechtsanwalt,Deutschland,Arndt,Adolf,"['1', '2', '3', '4', '5']","['Direktwahl', 'Direktwahl', 'Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,45
1949-1953,11000050,1,SPD,1894,Verwaltungsbeamter a. D.,Deutschland,Arnholz,Otto,"['1', '2']","['Direktwahl', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,55
1949-1953,11000053,0,FU,1882,Rektorin a. D.,Deutschland,Arnold,Thea,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,67
1949-1953,11000057,1,FDP,1895,Fabrikant,Deutschland,Atzenroth,Karl,"['3', '4', '1', '2']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,54
1949-1953,11000065,1,BP,1915,Staatskommissar a. D.,Deutschland,Aumer,Hermann,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,34
