,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19
0,11000001,1,CDU,1930,"Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor",Deutschland,Abelein,Manfred,"['5', '6', '7', '8', '9', '10', '11']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,11000002,1,FDP,1909,Rechtsanwalt und Notar,Deutschland,Achenbach,Ernst,"['3', '4', '5', '6', '7']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,11000003,0,CDU,1913,Hilfsreferentin,Jugoslawien,Ackermann,Annemarie,"['2', '3', '4']","['Landesliste', 'Landesliste', 'Landesliste']",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11000004,0,CDU,1933,Ärztin,Deutschland,Ackermann,Else,"['11', '12']","['Volkskammer', 'Landesliste']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4,11000005,1,CDU,1950,"Mathematiker, Geschäftsführer",Deutschland,Adam,Ulrich,"['15', '16', '12', '13', '14']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
5,11000007,1,SPD,1919,Gewerkschaftssekretär,Deutschland,Adams,Rudolf,"['5', '6', '7', '8']","['Landesliste', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6,11000008,1,CDU,1912,"Landwirt, Weingutbesitzer",Deutschland,Adelmann,Raban,['3'],['Direktwahl'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11000009,1,CDU,1876,Bundeskanzler a. D.,Deutschland,Adenauer,Konrad,"['1', '2', '3', '4', '5']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11000010,0,SPD,1944,Reallehrerin,Deutschland,Adler,Brigitte,"['11', '12', '13', '14']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
9,11000011,1,CDU,1920,Dipl.-Landwirt,Deutschland,Adorno,Eduard,"['4', '5', '6']","['Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
